Regions,Ad Types,eCPM API
VN,Rewarded Video,3.1429
YE,Interstitial,0.456
YE,Rewarded Video,1.212
ZA,Banner,0.1315
ZA,Interstitial,4.9499
ZA,Rewarded Video,5.9725
ZM,Interstitial,1.392
ZM,Rewarded Video,2.556
ZW,Interstitial,0.852
ZW,Rewarded Video,1.476
End,Splash,0
